id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,est_bookings_mo,occupancy_rate,projected_revenue
920451688574592279,Private Single Family Luxury Home | Hot Tub,312046089,Daniel,,District 21,36.1834779,-86.8077467,Entire home/apt,225.0,1,27,2025-09-15,1.14,1,287,7,,225.0,2.28,0.228,1539.0
920973607863092620,New Place in Germantown!Day Spa Now Open,88959664,Julian,,District 19,36.177424052360486,-86.78858111904906,Entire home/apt,129.0,2,33,2025-09-16,1.23,53,196,13,,129.0,2.46,0.246,952.02
921737956184097099,"Banana studio 4mi Parthenon, 7mi Broadway, 15m BNA",141526912,Yana,,District 20,36.14564,-86.88576,Entire home/apt,117.0,1,30,2025-07-18,1.1,7,364,11,,117.0,2.2,0.22000000000000003,772.2
921769318338982659,HUGE dwntwn corner unit: Pool-Gym-Walk 2 Broadway!,210580314,Chris,,District 19,36.15178294507924,-86.77816469999999,Entire home/apt,305.0,1,28,2025-08-17,1.06,2,142,10,,305.0,2.12,0.21200000000000002,1939.8000000000002
922405347154819877,Howdy House | Rooftop Skyline Views | Prime Area,101426897,Host Extraordinaires,,District 8,36.21852,-86.74258,Entire home/apt,165.0,2,46,2025-09-08,1.75,177,266,16,,165.0,3.5,0.35,1732.5
922448720952911730,Swanky Lux Home!•Private Pool! •11 Beds,115505661,Christopher Joseph,,District 6,36.16765,-86.7503,Entire home/apt,213.0,2,105,2025-09-07,3.88,116,350,49,,213.0,7.76,0.7,4473.0
922473351486801947,Nashville 2BR UNIT,452763106,Andrew & Lisa,,District 15,36.21905,-86.70313,Entire home/apt,138.0,2,0,,0.0,6,54,0,,138.0,0.0,0.0,0.0
922578464867434029,Lovely Nashville City House,45101594,Scarlett,,District 25,36.1125764,-86.787679,Entire home/apt,90.0,30,0,,0.0,51,364,0,,90.0,0.0,0.0,0.0
923124693095002834,"Sleeps 10, 3 miles to Nissan Stadium!",90705165,Dez,,District 7,36.194676,-86.7415785,Entire home/apt,217.0,1,60,2025-08-19,2.43,1,354,29,2023041806,217.0,4.86,0.48600000000000004,3163.86
923671184975644788,Spacious Home Easy Commute to Franklin & Nashville,21646527,Allison,,District 27,36.05122,-86.72972,Entire home/apt,285.0,30,0,,0.0,7,269,0,,285.0,0.0,0.0,0.0
923938438821118972,Comfy Nashville 1BR Near Midtown & The Parthenon,370154553,Innesa,,District 21,36.15014,-86.8079,Entire home/apt,106.0,1,44,2025-07-28,1.7,16,357,17,2023044932,106.0,3.4,0.33999999999999997,1081.1999999999998
924139062620693593,Brand New Home in Nashville,522633464,Matthew,,District 5,36.1830248,-86.75878379999999,Entire home/apt,181.0,3,51,2025-09-14,1.88,1,350,17,,181.0,3.76,0.376,2041.68
924484431295531686,Jack's Unit A - 10min to DT Nash,4141516,Lauren,,District 13,36.1407768,-86.7013697,Entire home/apt,121.0,30,4,2025-05-09,0.16,3,207,1,,121.0,0.32,0.032,116.16
924673554234781606,Nashville elegance enjoy southern comfort in style,174969407,Stevens Realty,,District 23,36.1288917,-86.87982439999999,Entire home/apt,148.0,2,30,2025-09-11,1.14,2,339,10,,148.0,2.28,0.228,1012.32
924711686102994280,"Serene Private Backyard Studio. Near BNA, Downtown",135257753,Brad,,District 16,36.10644,-86.74006,Entire home/apt,98.0,3,37,2025-08-23,2.16,2,27,21,,98.0,4.32,0.43200000000000005,1270.0800000000002
925343937880049116,Walk to Broadway – Stylish Condo w/ Pool Access,333621135,Chris,,District 19,36.15151865592115,-86.77790388464928,Entire home/apt,106.0,3,36,2025-08-31,1.52,7,326,19,,106.0,3.04,0.30400000000000005,966.7200000000001
925374114141319857,"Modern Home In Nash, 5 mi Airport, 7mi downtown",301014491,Cassie,,District 13,36.11278,-86.70337,Entire home/apt,208.0,1,58,2025-09-07,2.19,1,360,17,,208.0,4.38,0.438,2733.12
926296531681975468,"Steps to 12 South. Pet Friendly, Peloton & Kitchen",44593692,Zachary,,District 17,36.1251402,-86.7837758,Entire home/apt,167.0,2,78,2025-09-07,3.03,1,242,32,,167.0,6.06,0.606,3036.06
926427051011240571,*SeCrEt RiVeR* MUSIC CITY Retreat!,70256049,Brian,,District 26,36.06991,-86.738,Entire home/apt,349.0,30,6,2025-05-31,0.27,11,172,3,,349.0,0.54,0.054000000000000006,565.3800000000001
927411177709937767,Enchanted Oasis Retreat,523452785,Amy,,District 31,36.002044,-86.668588,Entire home/apt,219.0,31,6,2024-08-27,0.22,3,359,0,,219.0,0.44,0.044000000000000004,289.08000000000004
927466357813825584,Cumberland Emerald | Walk to Dining,388056808,Grand Welcome Nashville,,District 11,36.25005,-86.64017,Entire home/apt,113.0,1,24,2025-08-24,0.91,81,342,9,Permit # 2022041397,113.0,1.82,0.182,616.98
928082042087482536,Music City Rooftop Retreat,511459838,Albany,,District 21,36.16166,-86.81927,Entire home/apt,136.0,30,7,2025-08-15,0.3,2,298,1,,136.0,0.6,0.05999999999999999,244.79999999999995
928544194107224725,Bungalow Suite - Minutes to Downtown & Stadium,2464884,Sarah,,District 6,36.1801819,-86.74179149999999,Entire home/apt,94.0,2,59,2025-09-20,2.29,1,341,26,,94.0,4.58,0.458,1291.56
928564002697499585,Zenith w/Pool & Downtown View (Gym  Free Park),486139080,Vax,,District 19,36.14985,-86.77739,Entire home/apt,203.0,1,8,2024-11-04,0.36,4,357,2,,203.0,0.72,0.07200000000000001,438.4800000000001
928927479593652907,Luxurious Downton High Floor 2 br 2 bth Condo-#54,24241984,Kurt,,District 19,36.15857,-86.76587,Entire home/apt,318.0,2,84,2025-09-18,3.23,14,296,31,,318.0,6.46,0.646,6162.84
929026244698868707,Downtown Dolly/ 5 mins to Broadway/ Free Parking,110173478,Shea,,District 19,36.15456,-86.7542,Entire home/apt,116.0,1,34,2025-09-01,1.93,1,357,18,2024013987,116.0,3.86,0.386,1343.28
929305946493204607,"Musician's Suite: Luxe Music Row Stay, Walk to Gul",438770271,Christy,,District 19,36.1451967,-86.7925142,Entire home/apt,86.0,1,134,2025-09-14,4.97,11,227,53,,86.0,9.94,0.7,1805.9999999999998
929637984893806161,"Sam’s Place - Close to Broadway, Sleeps 8",162437646,Samuel Kurt,,District 21,36.16168,-86.81058,Entire home/apt,207.0,1,66,2025-08-25,2.73,1,325,27,T2023051006,207.0,5.46,0.5459999999999999,3390.6599999999994
929671033510929879,Healthy Living Hideaway: An Urban Ayurveda Retreat,188171668,Mary,,District 7,36.20418,-86.70518,Entire home/apt,313.0,1,24,2025-09-02,1.01,1,58,13,,313.0,2.02,0.202,1896.7800000000002
930083909793521255,Sound Engineer's Suite:  Luxe Music Row Stay!,438770271,Christy,,District 19,36.1451967,-86.7925142,Entire home/apt,93.0,1,78,2025-08-30,2.89,11,332,21,,93.0,5.78,0.578,1612.62
930492572078552944,"Midtown 2BR Gem Near Vandy, Music Row & Broadway",370154553,Innesa,,District 21,36.14538,-86.82212,Entire home/apt,110.0,1,61,2025-08-24,2.32,16,340,31,2018006025,110.0,4.64,0.4639999999999999,1531.1999999999998
930681007593740289,Charming Nashville Guest Suite,23899483,Katie,,District 20,36.14385,-86.87762,Entire home/apt,93.0,1,130,2025-09-15,4.94,1,38,54,,93.0,9.88,0.7,1952.9999999999998
931270693309262928,Stone Cottage - 5 Star R&R Nashville Retreat,333035767,Kimberly Catlin,,District 24,36.1412942,-86.838917,Entire home/apt,285.0,3,8,2025-06-28,0.7,14,269,8,,285.0,1.4,0.13999999999999999,1196.9999999999998
931372576391170358,Cozy 7min2DT&Airprt+EZfreparking,32624016,Jonathan,,District 16,36.1262242,-86.72565399999999,Entire home/apt,122.0,2,121,2025-09-19,4.53,2,350,43,,122.0,9.06,0.7,2562.0
931462250190860890,Nashville's Suite Retreat,396364911,Wendy,,District 19,36.1514884,-86.77816469999999,Entire home/apt,365.0,2,69,2025-09-21,2.83,1,72,36,,365.0,5.66,0.5660000000000001,6197.700000000001
932221926845437967,CozySuites Music Row Spacious 1BRw/free parking 15,403137298,CozySuites Nashville,,District 19,36.1456251,-86.7951583,Entire home/apt,91.0,2,61,2025-05-26,2.28,61,335,15,,91.0,4.56,0.456,1244.88
932506740475168993,Buena Vista-Riverside Haven,149105487,Justin,,District 3,36.23452161387132,-86.8260798134918,Entire home/apt,94.0,1,109,2025-09-21,4.26,8,56,43,2023045357,94.0,8.52,0.7,1973.9999999999998
932515359767609560,Nashville Tennessee 2BR UNIT,452763106,Andrew & Lisa,,District 15,36.21759,-86.70468,Entire home/apt,138.0,2,0,,0.0,6,62,0,,138.0,0.0,0.0,0.0
932520266115259282,"Nashville, TN - Two Bedroom UNIT",452763106,Andrew & Lisa,,District 15,36.21937,-86.70483,Entire home/apt,138.0,2,0,,0.0,6,60,0,,138.0,0.0,0.0,0.0
